Symbol,MarketCap,Sector,CompanyName
NVDA,4846270808064,Technology,NVIDIA Corporation
AAPL,3981192724480,Technology,Apple Inc.
MSFT,3760783097856,Technology,Microsoft Corporation
GOOGL,3503286124544,Communication Services,Alphabet Inc.
GOOG,3503286124544,Communication Services,Alphabet Inc.
AMZN,2655449513984,Consumer Cyclical,"Amazon.com, Inc."
AVGO,1692448456704,Technology,Broadcom Inc.
META,1592368562176,Communication Services,"Meta Platforms, Inc."
TSLA,1480754462720,Consumer Cyclical,"Tesla, Inc."
BRK-B,1071645130752,Financial Services,Berkshire Hathaway Inc. New
LLY,866551005184,Healthcare,Eli Lilly and Company
JPM,862657708032,Financial Services,JP Morgan Chase & Co.
WMT,816579411968,Consumer Defensive,Walmart Inc.
ORCL,686556381184,Technology,Oracle Corporation
V,646226116608,Financial Services,Visa Inc.
XOM,498533728256,Energy,Exxon Mobil Corporation
MA,496555786240,Financial Services,Mastercard Incorporated
NFLX,474609844224,Communication Services,"Netflix, Inc."
PLTR,461457096704,Technology,Palantir Technologies Inc.
JNJ,453935300608,Healthcare,Johnson & Johnson
COST,405757132800,Consumer Defensive,Costco Wholesale Corporation
AMD,397209567232,Technology,"Advanced Micro Devices, Inc."
BAC,390099304448,Financial Services,Bank of America Corporation
ABBV,386544697344,Healthcare,AbbVie Inc.
HD,368721068032,Consumer Cyclical,"Home Depot, Inc. (The)"
PG,339994705920,Consumer Defensive,Procter & Gamble Company (The)
GE,329038659584,Industrials,GE Aerospace
CVX,311199367168,Energy,Chevron Corporation
KO,303349465088,Consumer Defensive,Coca-Cola Company (The)
UNH,291299557376,Healthcare,UnitedHealth Group Incorporated
IBM,288954712064,Technology,International Business Machines
MU,284320661504,Technology,"Micron Technology, Inc."
CSCO,284086861824,Technology,"Cisco Systems, Inc."
WFC,270275182592,Financial Services,Wells Fargo & Company
CAT,267431182336,Industrials,"Caterpillar, Inc."
MS,262315507712,Financial Services,Morgan Stanley
AXP,253414752256,Financial Services,American Express Company
PM,241387978752,Consumer Defensive,Philip Morris International Inc
RTX,240038395904,Industrials,RTX Corporation
GS,239103016960,Financial Services,"Goldman Sachs Group, Inc. (The)"
TMUS,230266945536,Communication Services,"T-Mobile US, Inc."
CRM,230107922432,Technology,"Salesforce, Inc."
APP,220116860928,Communication Services,Applovin Corporation
ABT,218906591232,Healthcare,Abbott Laboratories
TMO,216539332608,Healthcare,Thermo Fisher Scientific Inc
MRK,215315464192,Healthcare,"Merck & Company, Inc."
MCD,213005369344,Consumer Cyclical,McDonald's Corporation
LRCX,208965697536,Technology,Lam Research Corporation
ISRG,204260638720,Healthcare,"Intuitive Surgical, Inc."
DIS,201800089600,Communication Services,Walt Disney Company (The)
LIN,196431413248,Basic Materials,Linde plc
UBER,195523837952,Technology,"Uber Technologies, Inc."
PEP,195010052096,Consumer Defensive,"Pepsico, Inc."
AMAT,187274706944,Technology,"Applied Materials, Inc."
QCOM,183751475200,Technology,QUALCOMM Incorporated
INTC,183406493696,Technology,Intel Corporation
INTU,182134947840,Technology,Intuit Inc.
C,181592621056,Financial Services,"Citigroup, Inc."
NOW,180321222656,Technology,"ServiceNow, Inc."
NEE,176542810112,Utilities,"NextEra Energy, Inc."
APH,176080404480,Technology,Amphenol Corporation
T,176031023104,Communication Services,AT&T Inc.
BX,176020340736,Financial Services,Blackstone Inc.
AMGN,174284652544,Healthcare,Amgen Inc.
ANET,172849463296,Technology,"Arista Networks, Inc."
SCHW,169839624192,Financial Services,Charles Schwab Corporation (The
VZ,168024555520,Communication Services,Verizon Communications Inc.
BLK,167971028992,Financial Services,"BlackRock, Inc."
TJX,163290382336,Consumer Cyclical,"TJX Companies, Inc. (The)"
KLAC,160029294592,Technology,KLA Corporation
BKNG,159828148224,Consumer Cyclical,Booking Holdings Inc. Common St
GEV,157311598592,Industrials,GE Vernova Inc.
ACN,151654957056,Technology,Accenture plc
BSX,149593227264,Healthcare,Boston Scientific Corporation
SPGI,149534752768,Financial Services,S&P Global Inc.
DHR,149159837696,Healthcare,Danaher Corporation
PANW,148109606912,Technology,"Palo Alto Networks, Inc."
BA,148074201088,Industrials,Boeing Company (The)
ETN,147424985088,Industrials,"Eaton Corporation, PLC"
GILD,146586304512,Healthcare,"Gilead Sciences, Inc."
TXN,145906696192,Technology,Texas Instruments Incorporated
COF,140090261504,Financial Services,Capital One Financial Corporati
CRWD,139915018240,Technology,"CrowdStrike Holdings, Inc."
PFE,138674405376,Healthcare,"Pfizer, Inc."
ADBE,137656614912,Technology,Adobe Inc.
SYK,135768039424,Healthcare,Stryker Corporation
UNP,132796866560,Industrials,Union Pacific Corporation
WELL,131129835520,Real Estate,Welltower Inc.
LOW,130689024000,Consumer Cyclical,"Lowe's Companies, Inc."
DE,128241573888,Industrials,Deere & Company
PGR,127558991872,Financial Services,Progressive Corporation (The)
HON,124482347008,Industrials,Honeywell International Inc.
HOOD,122181787648,Financial Services,"Robinhood Markets, Inc."
MDT,118847209472,Healthcare,Medtronic plc.
PLD,116015489024,Real Estate,"Prologis, Inc."
ADI,114133655552,Technology,"Analog Devices, Inc."
CB,113441030144,Financial Services,Chubb Limited
CEG,112714858496,Utilities,Constellation Energy Corporatio
KKR,111212486656,Financial Services,KKR & Co. Inc.
COP,109027426304,Energy,ConocoPhillips
VRTX,106866376704,Healthcare,Vertex Pharmaceuticals Incorpor
PH,106076323840,Industrials,Parker-Hannifin Corporation
MCK,106069155840,Healthcare,McKesson Corporation
HCA,104809455616,Healthcare,"HCA Healthcare, Inc."
LMT,104614944768,Industrials,Lockheed Martin Corporation
ADP,102754246656,Technology,"Automatic Data Processing, Inc."
CME,99987103744,Financial Services,CME Group Inc.
SO,99936280576,Utilities,Southern Company (The)
CMCSA,98822422528,Communication Services,Comcast Corporation
CVS,98431795200,Healthcare,CVS Health Corporation
MO,96607551488,Consumer Defensive,"Altria Group, Inc."
NEM,96314875904,Basic Materials,Newmont Corporation
BMY,96209690624,Healthcare,Bristol-Myers Squibb Company
SBUX,96181739520,Consumer Cyclical,Starbucks Corporation
TT,96123863040,Industrials,Trane Technologies plc
DELL,95630868480,Technology,Dell Technologies Inc.
DUK,95597895680,Utilities,Duke Energy Corporation (Holdin
GD,94404395008,Industrials,General Dynamics Corporation
NKE,89874636800,Consumer Cyclical,"Nike, Inc."
CDNS,89537798144,Technology,"Cadence Design Systems, Inc."
MMM,89070501888,Industrials,3M Company
DASH,87958183936,Consumer Cyclical,"DoorDash, Inc."
MMC,87262715904,Financial Services,"Marsh & McLennan Companies, Inc"
MCO,86511509504,Financial Services,Moody's Corporation
COIN,85727854592,Financial Services,"Coinbase Global, Inc."
ICE,85241692160,Financial Services,Intercontinental Exchange Inc.
SHW,84915920896,Basic Materials,Sherwin-Williams Company (The)
HWM,84420354048,Industrials,Howmet Aerospace Inc.
AMT,84135313408,Real Estate,American Tower Corporation (REI
ORLY,82806603776,Consumer Cyclical,"O'Reilly Automotive, Inc."
EQIX,81310842880,Real Estate,"Equinix, Inc."
WM,80762757120,Industrials,"Waste Management, Inc."
NOC,80348536832,Industrials,Northrop Grumman Corporation
JCI,80214564864,Industrials,Johnson Controls International 
UPS,78950760448,Industrials,"United Parcel Service, Inc."
MAR,77948141568,Consumer Cyclical,Marriott International
BK,77377855488,Financial Services,The Bank of New York Mellon Cor
APO,75988926464,Financial Services,"Apollo Global Management, Inc. "
GLW,75927830528,Technology,Corning Incorporated
CTAS,74445807616,Industrials,Cintas Corporation
SNPS,74442489856,Technology,"Synopsys, Inc."
AON,74124722176,Financial Services,Aon plc
WMB,74005856256,Energy,"Williams Companies, Inc. (The)"
USB,73959972864,Financial Services,U.S. Bancorp
ECL,73233408000,Basic Materials,Ecolab Inc.
EMR,73158377472,Industrials,Emerson Electric Company
TEL,72979726336,Technology,TE Connectivity plc
ABNB,72883240960,Consumer Cyclical,"Airbnb, Inc."
TDG,72630444032,Industrials,Transdigm Group Incorporated
PNC,72584609792,Financial Services,"PNC Financial Services Group, I"
MDLZ,72582668288,Consumer Defensive,"Mondelez International, Inc."
RCL,72263483392,Consumer Cyclical,Royal Caribbean Cruises Ltd.
ITW,70862725120,Industrials,Illinois Tool Works Inc.
COR,70697574400,Healthcare,"Cencora, Inc."
SPG,69001887744,Real Estate,"Simon Property Group, Inc."
CI,68961206272,Healthcare,The Cigna Group
REGN,68812824576,Healthcare,"Regeneron Pharmaceuticals, Inc."
MNST,68420792320,Consumer Defensive,Monster Beverage Corporation
ELV,67511693312,Healthcare,"Elevance Health, Inc."
PWR,67158814720,Industrials,"Quanta Services, Inc."
CMI,66856480768,Industrials,Cummins Inc.
GM,66279800832,Consumer Cyclical,General Motors Company
MSI,65622667264,Technology,"Motorola Solutions, Inc."
AEP,65602150400,Utilities,American Electric Power Company
CSX,65398247424,Industrials,CSX Corporation
AJG,64473460736,Financial Services,Arthur J. Gallagher & Co.
NSC,64381014016,Industrials,Norfolk Southern Corporation
HLT,63812751360,Consumer Cyclical,Hilton Worldwide Holdings Inc.
VST,63794065408,Utilities,Vistra Corp.
ADSK,63627362304,Technology,"Autodesk, Inc."
CL,63251918848,Consumer Defensive,Colgate-Palmolive Company
RSG,63188115456,Industrials,"Republic Services, Inc."
TRV,62990884864,Financial Services,"The Travelers Companies, Inc."
STX,62783946752,Technology,Seagate Technology Holdings PLC
AZO,62008066048,Consumer Cyclical,"AutoZone, Inc."
PYPL,61986942976,Financial Services,"PayPal Holdings, Inc."
FTNT,61187366912,Technology,"Fortinet, Inc."
WDAY,60867989504,Technology,"Workday, Inc."
SRE,60660224000,Utilities,DBA Sempra
KMI,60202012672,Energy,"Kinder Morgan, Inc."
FDX,59906732032,Industrials,FedEx Corporation
WDC,59565694976,Technology,Western Digital Corporation
AFL,59528859648,Financial Services,AFLAC Incorporated
DLR,59173507072,Real Estate,"Digital Realty Trust, Inc."
MPC,59026300928,Energy,Marathon Petroleum Corporation
FCX,58801360896,Basic Materials,"Freeport-McMoRan, Inc."
EOG,57824718848,Energy,"EOG Resources, Inc."
TFC,57719595008,Financial Services,Truist Financial Corporation
APD,57514532864,Basic Materials,"Air Products and Chemicals, Inc"
WBD,56943853568,Communication Services,"Warner Bros. Discovery, Inc. - "
IDXX,56661704704,Healthcare,"IDEXX Laboratories, Inc."
PSX,55865012224,Energy,Phillips 66
LHX,55554695168,Industrials,"L3Harris Technologies, Inc."
SLB,55140720640,Energy,SLB Limited
VLO,54651604992,Energy,Valero Energy Corporation
URI,54373871616,Industrials,"United Rentals, Inc."
ALL,53354283008,Financial Services,Allstate Corporation (The)
ZTS,52790640640,Healthcare,Zoetis Inc.
ROST,52660637696,Consumer Cyclical,"Ross Stores, Inc."
F,52436000768,Consumer Cyclical,Ford Motor Company
BDX,52063010816,Healthcare,"Becton, Dickinson and Company"
PCAR,51984728064,Industrials,PACCAR Inc.
D,51977699328,Utilities,"Dominion Energy, Inc."
O,51864289280,Real Estate,Realty Income Corporation
NXPI,51625984000,Technology,NXP Semiconductors N.V.
MET,50853257216,Financial Services,"MetLife, Inc."
EA,50230075392,Communication Services,Electronic Arts Inc.
NDAQ,50144821248,Financial Services,"Nasdaq, Inc."
CAH,48809148416,Healthcare,"Cardinal Health, Inc."
EW,48791625728,Healthcare,Edwards Lifesciences Corporatio
ROP,48417468416,Technology,"Roper Technologies, Inc."
CARR,48283889664,Industrials,Carrier Global Corporation
BKR,48154566656,Energy,Baker Hughes Company
PSA,47862800384,Real Estate,Public Storage
XEL,47559798784,Utilities,Xcel Energy Inc.
FAST,47471276032,Industrials,Fastenal Company
MPWR,46772084736,Technology,"Monolithic Power Systems, Inc."
AXON,46138159104,Industrials,"Axon Enterprise, Inc."
EXC,45836877824,Utilities,Exelon Corporation
AME,45582667776,Industrials,"AMETEK, Inc."
CBRE,45183545344,Real Estate,CBRE Group Inc
GWW,45169967104,Industrials,"W.W. Grainger, Inc."
LVS,44712771584,Consumer Cyclical,Las Vegas Sands Corp.
CTVA,44300984320,Basic Materials,"Corteva, Inc."
ROK,43988832256,Industrials,"Rockwell Automation, Inc."
ETR,43369025536,Utilities,Entergy Corporation
MSCI,43351756800,Financial Services,MSCI Inc.
TTWO,43249332224,Communication Services,"Take-Two Interactive Software, "
OKE,42724823040,Energy,"ONEOK, Inc."
KR,42702987264,Consumer Defensive,Kroger Company (The)
